horizon_min,period,feature,kind,winner_n,loser_n,winner_value,loser_value,recovery_auc,winner_rate,loser_rate,rate_gap
15,DEV,close_progress,CONT,6,8,-0.01652754934136851,-0.049135920902845576,0.5416666666666666,,,
15,DEV,mfe_from_alarm,CONT,6,8,0.09969131547979954,0.05299908712292172,0.7083333333333334,,,
15,DEV,recovery_ratio,CONT,6,8,-0.032642812303829996,-0.33280320726271795,0.625,,,
15,DEV,up_slope_3,CONT,6,8,-0.04949649619564322,-0.00841511136873672,0.4583333333333333,,,
15,DEV,mae_from_alarm,CONT,6,8,0.10185635126128717,0.14013441148713635,0.6666666666666666,,,
15,DEV,close_above_alarm,BINARY,6,8,,,,0.5,0.375,0.125
15,DEV,touch_reclaim_entry,BINARY,6,8,,,,0.16666666666666666,0.0,0.16666666666666666
15,DEV,close_reclaim_entry,BINARY,6,8,,,,0.0,0.0,0.0
15,DEV,touch_reclaim_wall,BINARY,6,8,,,,0.5,0.375,0.125
15,DEV,close_reclaim_wall,BINARY,6,8,,,,0.3333333333333333,0.375,-0.041666666666666685
15,DEV,close_break_pre15_high,BINARY,6,8,,,,0.5,0.125,0.375
15,DEV,no_new_low_after_alarm,BINARY,6,8,,,,0.6666666666666666,0.0,0.6666666666666666
15,REF,close_progress,CONT,2,8,-0.06077154826796689,-0.007199992442891802,0.5,,,
15,REF,mfe_from_alarm,CONT,2,8,0.07505125858736415,0.07823018155374288,0.375,,,
15,REF,recovery_ratio,CONT,2,8,-0.09879074315515526,-0.01724137931034367,0.5,,,
15,REF,up_slope_3,CONT,2,8,-0.050569235505998664,-0.03573756358487245,0.4375,,,
15,REF,mae_from_alarm,CONT,2,8,0.20661892210488503,0.08617718000061866,0.1875,,,
15,REF,close_above_alarm,BINARY,2,8,,,,0.5,0.5,0.0
15,REF,touch_reclaim_entry,BINARY,2,8,,,,0.5,0.0,0.5
15,REF,close_reclaim_entry,BINARY,2,8,,,,0.0,0.0,0.0
15,REF,touch_reclaim_wall,BINARY,2,8,,,,1.0,0.625,0.375
15,REF,close_reclaim_wall,BINARY,2,8,,,,1.0,0.125,0.875
15,REF,close_break_pre15_high,BINARY,2,8,,,,0.0,0.125,-0.125
15,REF,no_new_low_after_alarm,BINARY,2,8,,,,0.5,0.25,0.25
30,DEV,close_progress,CONT,6,8,0.07195434967886011,-0.09113580859218992,0.5833333333333334,,,
30,DEV,mfe_from_alarm,CONT,6,8,0.1797365400966045,0.05299908712292172,0.7708333333333334,,,
30,DEV,recovery_ratio,CONT,6,8,0.33869992441420954,-0.5822281959378817,0.6875,,,
30,DEV,up_slope_3,CONT,6,8,0.06937800514390954,-0.029820797216690453,0.6875,,,
30,DEV,mae_from_alarm,CONT,6,8,0.1488881916739513,0.15902271970234222,0.6458333333333334,,,
30,DEV,close_above_alarm,BINARY,6,8,,,,0.6666666666666666,0.25,0.41666666666666663
30,DEV,touch_reclaim_entry,BINARY,6,8,,,,0.3333333333333333,0.125,0.20833333333333331
30,DEV,close_reclaim_entry,BINARY,6,8,,,,0.16666666666666666,0.125,0.04166666666666666
30,DEV,touch_reclaim_wall,BINARY,6,8,,,,0.8333333333333334,0.375,0.45833333333333337
30,DEV,close_reclaim_wall,BINARY,6,8,,,,0.8333333333333334,0.375,0.45833333333333337
30,DEV,close_break_pre15_high,BINARY,6,8,,,,0.6666666666666666,0.125,0.5416666666666666
30,DEV,no_new_low_after_alarm,BINARY,6,8,,,,0.5,0.0,0.5
30,REF,close_progress,CONT,2,8,-0.05901191421417878,-0.10319452560662865,0.5625,,,
30,REF,mfe_from_alarm,CONT,2,8,0.07505125858736415,0.10059477136271361,0.375,,,
30,REF,recovery_ratio,CONT,2,8,-0.20815840938723437,-0.32650724533520137,0.5625,,,
30,REF,up_slope_3,CONT,2,8,0.0017596340537881158,-0.0044229363765393905,0.6875,,,
30,REF,mae_from_alarm,CONT,2,8,0.23385757920494865,0.1970465352602576,0.375,,,
30,REF,close_above_alarm,BINARY,2,8,,,,0.5,0.375,0.125
30,REF,touch_reclaim_entry,BINARY,2,8,,,,0.5,0.0,0.5
30,REF,close_reclaim_entry,BINARY,2,8,,,,0.0,0.0,0.0
30,REF,touch_reclaim_wall,BINARY,2,8,,,,1.0,0.625,0.375
30,REF,close_reclaim_wall,BINARY,2,8,,,,1.0,0.125,0.875
30,REF,close_break_pre15_high,BINARY,2,8,,,,0.0,0.25,-0.25
30,REF,no_new_low_after_alarm,BINARY,2,8,,,,0.5,0.125,0.375
45,DEV,close_progress,CONT,6,8,0.18597189915768167,-0.11258597777386442,0.8125,,,
45,DEV,mfe_from_alarm,CONT,6,8,0.21247482397120943,0.12895341423137094,0.7083333333333334,,,
45,DEV,recovery_ratio,CONT,6,8,0.6345170836696203,-0.5645810781554315,0.7916666666666666,,,
45,DEV,up_slope_3,CONT,6,8,0.13056648607464383,-0.04437958438511445,0.8333333333333334,,,
45,DEV,mae_from_alarm,CONT,6,8,0.1488881916739513,0.21239839442369843,0.6666666666666666,,,
45,DEV,close_above_alarm,BINARY,6,8,,,,1.0,0.375,0.625
45,DEV,touch_reclaim_entry,BINARY,6,8,,,,0.3333333333333333,0.25,0.08333333333333331
45,DEV,close_reclaim_entry,BINARY,6,8,,,,0.3333333333333333,0.0,0.3333333333333333
45,DEV,touch_reclaim_wall,BINARY,6,8,,,,0.8333333333333334,0.375,0.45833333333333337
45,DEV,close_reclaim_wall,BINARY,6,8,,,,0.8333333333333334,0.25,0.5833333333333334
45,DEV,close_break_pre15_high,BINARY,6,8,,,,0.6666666666666666,0.375,0.29166666666666663
45,DEV,no_new_low_after_alarm,BINARY,6,8,,,,0.5,0.0,0.5
45,REF,close_progress,CONT,2,8,-0.12858933223127134,-0.14879826738484914,0.5,,,
45,REF,mfe_from_alarm,CONT,2,8,0.09399063735225226,0.11157590191857045,0.4375,,,
45,REF,recovery_ratio,CONT,2,8,-0.3880508474576287,-0.48555229683184,0.5,,,
45,REF,up_slope_3,CONT,2,8,-0.06957741801709258,-0.02854382526189269,0.5,,,
45,REF,mae_from_alarm,CONT,2,8,0.332172107175493,0.23504863559789896,0.3125,,,
45,REF,close_above_alarm,BINARY,2,8,,,,0.5,0.25,0.25
45,REF,touch_reclaim_entry,BINARY,2,8,,,,0.5,0.0,0.5
