horizon_min,feature,kind,dev_mechanism_candidate,ref_directionally_consistent,dev_strength,ref_strength
15,no_new_low_after_alarm,BINARY,True,True,0.6666666666666666,0.25
30,close_above_alarm,BINARY,True,True,0.41666666666666663,0.125
30,no_new_low_after_alarm,BINARY,True,True,0.5,0.375
45,close_reclaim_wall,BINARY,True,True,0.5833333333333334,0.875
45,no_new_low_after_alarm,BINARY,True,True,0.5,0.375
60,close_progress,CONT,True,True,0.9791666666666666,0.75
60,recovery_ratio,CONT,True,True,0.9791666666666666,0.5625
60,up_slope_3,CONT,True,True,0.9791666666666666,0.625
60,touch_reclaim_entry,BINARY,True,True,0.5833333333333334,0.5
60,close_reclaim_wall,BINARY,True,True,0.5833333333333334,0.375
