period,policy,n180,baseline_mean,managed_mean,mean_delta,baseline_median,managed_median,baseline_q10,managed_q10,q10_delta,baseline_positive_rate,managed_positive_rate,winner_n,baseline_winner_mean,managed_winner_mean,winner_mean_retention,baseline_winner_median,managed_winner_median,loser_n,baseline_loser_mean,managed_loser_mean,loser_mean_improvement,baseline_loser_median,managed_loser_median,alarm_n,alarm_winners,alarm_losers,alarm_winner_mean_retention,alarm_loser_mean_improvement,tail_efficiency
DEV,P25_ALARM,76,0.12520633947280863,0.12052360019791127,-0.00468273927489736,0.12153008237941285,0.10429613960183814,-0.2660354930894664,-0.2660354930894664,0.0,0.6447368421052632,0.618421052631579,49,0.32135117512237765,0.3076947532460829,0.9575031214026397,0.2792187461231604,0.2584719063790675,27,-0.23076021411344622,-0.21915738125988166,0.01160283285356456,-0.1871281317826219,-0.18765093705490965,14,6,8,0.4877744696265355,0.03915956088078054,0.0
DEV,P50_ALARM,76,0.12520633947280863,0.11584086092301395,-0.009365478549794679,0.12153008237941285,0.09740602472232751,-0.2660354930894664,-0.2660354930894664,0.0,0.6447368421052632,0.5921052631578947,49,0.32135117512237765,0.2940383313697882,0.9150062428052795,0.2792187461231604,0.2561157272266846,27,-0.23076021411344622,-0.207554548406317,0.023205665707129203,-0.1871281317826219,-0.1937743465011401,14,6,8,-0.024451060746929078,0.07831912176156114,0.0
DEV,P75_ALARM,76,0.12520633947280863,0.1111581216481166,-0.014048217824692025,0.12153008237941285,0.09511661335031155,-0.2660354930894664,-0.2757231987804297,-0.009687705690963333,0.6447368421052632,0.5789473684210527,49,0.32135117512237765,0.2803819094934934,0.8725093642079191,0.2792187461231604,0.2561157272266846,27,-0.23076021411344622,-0.19595171555275237,0.034808498560693846,-0.1871281317826219,-0.1937743465011401,14,6,8,-0.5366765911203937,0.11747868264234168,-0.6896038922414498
DEV,P25_ALARM_P25_FAILREC,76,0.12520633947280863,0.1189384991228577,-0.006267840349950926,0.12153008237941285,0.10429613960183814,-0.2660354930894664,-0.2660354930894664,0.0,0.6447368421052632,0.618421052631579,49,0.32135117512237765,0.30642282195099446,0.9535450487595132,0.2792187461231604,0.2584719063790675,27,-0.23076021411344622,-0.22131082749116823,0.009449386622277983,-0.1871281317826219,-0.1937743465011401,14,6,8,0.4400668278938063,0.031891679850188204,0.0
REF,P25_ALARM,42,0.053227473310646714,0.05299766563948908,-0.00022980767115763495,0.028980597245939696,0.021169665246724007,-0.47171865122392953,-0.4323549441490473,0.03936370707488224,0.5714285714285714,0.5714285714285714,24,0.307223693599558,0.3001822172805814,0.9770802953493731,0.2647545158304132,0.2647545158304132,18,-0.285434153741235,-0.27658173654863405,0.008852417192600937,-0.2314563477351342,-0.25311427830485167,10,2,8,0.3794073676305548,0.019917938683352066,171.2897871363092
REF,P50_ALARM,42,0.053227473310646714,0.05276785796833142,-0.0004596153423152907,0.028980597245939696,0.012193102148767922,-0.47171865122392953,-0.39382628327797997,0.07789236794594956,0.5714285714285714,0.5476190476190477,24,0.307223693599558,0.29314074096160486,0.9541605906987463,0.2647545158304132,0.2647545158304132,18,-0.285434153741235,-0.26772931935603317,0.017704834385201818,-0.2314563477351342,-0.28745075263826914,10,2,8,-0.24118526473889035,0.03983587736670413,169.47295004028894
REF,P75_ALARM,42,0.053227473310646714,0.05253805029717381,-0.0006894230134729049,0.028980597245939696,0.01153115660968305,-0.47171865122392953,-0.34663012356143014,0.1250885276624994,0.5714285714285714,0.5238095238095238,24,0.307223693599558,0.28609926464262836,0.9312408860481195,0.2647545158304132,0.2647545158304132,18,-0.285434153741235,-0.25887690216343223,0.026557251577802754,-0.2314563477351342,-0.2961301715871201,10,2,8,-0.8617778971083355,0.0597538160500562,181.4394431546134
REF,P25_ALARM_P25_FAILREC,42,0.053227473310646714,0.05029176198347874,-0.002935711327167974,0.028980597245939696,0.021169665246724007,-0.47171865122392953,-0.43520237611253465,0.03651627511139488,0.5714285714285714,0.5714285714285714,24,0.307223693599558,0.3001822172805814,0.9770802953493731,0.2647545158304132,0.2647545158304132,18,-0.285434153741235,-0.2828955117459915,0.002538641995243507,-0.2314563477351342,-0.28773390413820604,10,2,8,0.3794073676305548,0.005711944489297793,12.438646393281948
ALL,P25_ALARM,118,0.09958674304220862,0.09648894552457457,-0.003097797517634046,0.09511661335031155,0.07917447383018553,-0.3642216287311345,-0.3450984434093155,0.019123185321819003,0.6186440677966102,0.6016949152542372,73,0.31670652366282054,0.30522487840810986,0.9637467358678897,0.2679879849639813,0.2615210466968451,45,-0.2526297899645617,-0.24212712337538259,0.010502666589179116,-0.1937743465011401,-0.1994205405485459,24,8,16,0.4690820182766071,0.02953874978206633,6.173155350845656
ALL,P50_ALARM,118,0.09958674304220862,0.09339114800694052,-0.006195595035268092,0.09511661335031155,0.0665938516833813,-0.3642216287311345,-0.3269061089561474,0.037315519774987094,0.6186440677966102,0.576271186440678,73,0.31670652366282054,0.2937432331533992,0.9274934717357793,0.2679879849639813,0.2584719063790675,45,-0.2526297899645617,-0.23162445678620347,0.021005333178358232,-0.1937743465011401,-0.20091484165934548,24,8,16,-0.061835963446785824,0.05907749956413266,6.022911368895239
